"book_id","title","author_first_name","author_last_name","publisher","is_series","series_title","series_number","publication_year","price","genre_1","genre_2","genre_3","subject_1","subject_2","fiction_status","purchase_url","status","notes"
29,Haunting of Room 904,Erika,Wurth,Flatiron,false,,,2025,28.00,Horror,Thriller,,Paranormal,Cults,Fiction,https://us.macmillan.com/books/9781250908599/thehauntingofroom904/,Want,
31,Hot Air,Maria,Demarsky,Penguin Random House,false,,,2025,28,Literary,Women,,Billionaires,First Dates,Fiction,https://www.penguinrandomhouse.com/books/688426/hot-air-by-marcy-dermansky/,Want,
30,Hope's Enduring Echo,Kim Vogel,Sawyer,Waterbrook,false,,,2025,19,Christian,Romance,Historical,Paleontology,"19th century",Fiction,https://www.penguinrandomhouse.com/books/738115/hopes-enduring-echo-by-kim-vogel-sawyer/,Want,
32,Hymn to Dionysus,Natasha,Pulley,Bloomsbury,false,,,2025,29,Mythology,Historical,Romance,Greek Mythology,Queer,Fiction,https://www.bloomsbury.com/us/hymn-to-dionysus-9781639732364/,Want,
33,I would die for you,Sadie,Jones,Minotaur,false,,,2025,29,Thriller,,,Musicians,Missing people,Fiction,https://us.macmillan.com/books/9781250910035/iwoulddieforyou/,Want,
34,It all comes back to you,Melissa,Weisner,Forever,false,,,2025,19,Romance,,,Man-woman relationships,Secrecy,Fiction,https://www.hachettebookgroup.com/titles/melissa-wiesner/it-all-comes-back-to-you/9781538770429/?lens=forever,Want,
35,Just our Luck,Denise,Williams,Berkley,false,,,2025,19.00,Romance,,,Man-Women relationship,Bakeries,Fiction,https://www.penguinrandomhouse.com/books/739630/just-our-luck-by-denise-williams/,Want,
36,Keeper of Lonely Spirits,E. M.,Anderson,Mira,false,,,2025,28.00,Fantasy,Mystery,,Paranormal,LGBTQ,Fiction,https://www.harpercollins.com/products/the-keeper-of-lonely-spirits-em-anderson?variant=43103037882402,Want,
38,Murder by Memory,Olivia,Waite,Tor,false,,,2025,28,Mystery,Science Fiction,,Spaceships,Cozy,Fiction,https://us.macmillan.com/books/9781250342249/murderbymemory/,"",""
37,Map to Paradise,Susan,Meissner,Berkley,false,,,2025,29.00,Historial,,,Actresses,Ninteen-fifties,Fiction,https://www.penguinrandomhouse.com/books/667327/a-map-to-paradise-by-susan-meissner/,Want,
39,Nowhere,Allison,Gunn,Atria,false,,,2025,19.00,Thriller,Horror,,Appalachia,Creepy,Fiction,https://www.simonandschuster.com/books/Nowhere/Allison-Gunn/9781668046661,Want,
40,The Other People,C.B.,Everett,Atria,false,,,2025,28.00,Thriller,Psychological,,Serial Murders,Amnesia,Fiction,https://www.simonandschuster.com/books/The-Other-People/C-B-Everett/9781668058312,Want,
41,Our Beautiful Boys,Someer,Pandya,Ballantine,false,,,2025,28.00,Literary,,,Family Secrets,Racism,Fiction,https://www.penguinrandomhouse.com/books/743614/our-beautiful-boys-by-sameer-pandya/,Want,
42,The Paris Express,Emma,Donoghue,Summit,false,,,2025,29.00,Literary,Historical,,Paris,Trains,Fiction,https://www.simonandschuster.com/books/The-Paris-Express/Emma-Donoghue/9781668082799,Want,
43,Passing through a prairie country,Dennis E.,Staples,Counterpoint,false,,,2025,29.00,Horror,Thriller,,Indegenous Peoples,Dreams,Fiction,https://www.counterpointpress.com/books/passing-through-a-prairie-country/,Want,
44,Space Brooms!,A.G.,Rodriguez,Angry Robot,false,,,2025,19.00,Science Fiction,,,Smugglers,Janitors,Fiction,https://angryrobotbooks.com/books/space-brooms/,Want,
45,The Formidable Miss Cassidy,Mei Han,Boey,Harper Perennial,false,,,2025,19.00,Historical,Fantasy,,Governesses,Magic,Fiction,https://www.harpercollins.com/products/the-formidable-miss-cassidy-meihan-boey?variant=43733986312226,Want,
46,The Fort,Christy K.,Lee,Rising Action,false,,,2025,18,Historical,,,Survival,Fur Trading,Fiction,https://www.simonandschuster.com/books/The-Fort/Christy-K-Lee/9781998076413,Want,
47,Daring to fall for the prince,Heba,Helmy,Harlequin,false,,,2025,10.00,Romance,Historical,,Egypt,Nobility,Fiction,https://harlequin.com/products/daring-to-fall-for-the-prince?variant=44992997589168,Want,
48,One Scandal too Many,Dawn,Brower,Independently Published,true,Havenwood,3,2025,6.00,Romance,Historical,,Nobility,Finishing Schools,Fiction,https://www.barnesandnoble.com/w/one-scandal-too-many-dawn-brower/1149021100?ean=9798233443374,Want,
49,The Cardinal,Alison,Weir,Ballantine,false,,,2025,19.00,Historical,Literary,,Churches,Great Britain,Fiction,https://www.penguinrandomhouse.com/books/771985/the-cardinal-by-alison-weir/,Want,
51,Under a Waning Moon,Steven L.,Ririe,Independently Published,true,As the Starlings Fly,1,2025,6,Christian,Fantasy,,Plagues,Survival,Fiction,https://a.co/d/0ilXNV91,Want,
52,Smoke in the Cypress,Own,Pataki,Permuted Press,false,,,2025,24.00,Historical,Thriller,,War of 1812,Louisiana,Fiction,https://www.simonandschuster.com/books/Smoke-in-the-Cypress/Owen-Pataki/9798888455838,Want,
53,The Dressmaker's Secret,Michelle,Vernal,Bookoture,false,,,2025,11,Historical,Romance,,Dressmaking,Orphans,Fiction,https://a.co/d/02VssX3x,Want,
50,Death in an English Village,Fliss,Chester,Bookotoure,true,Cressida Fawcett Mysteries,7,2025,10.00,Mystery,Historical,,Buried Treasure,Dogs,Fiction,https://a.co/d/06Rj8YZY,Want,
